cdrRecordType,globalCallID_callManagerId,globalCallID_callId,origLegCallIdentifier,dateTimeOrigination,origNodeId,origSpan,origIpAddr,callingPartyNumber,callingPartyUnicodeLoginUserID,origCause_location,origCause_value,origPrecedenceLevel,origMediaTransportAddress_IP,origMediaTransportAddress_Port,origMediaCap_payloadCapability,origMediaCap_maxFramesPerPacket,origMediaCap_g723BitRate,origVideoCap_Codec,origVideoCap_Bandwidth,origVideoCap_Resolution,origVideoTransportAddress_IP,origVideoTransportAddress_Port,origRSVPAudioStat,origRSVPVideoStat,destLegIdentifier,destNodeId,destSpan,destIpAddr,originalCalledPartyNumber,finalCalledPartyNumber,finalCalledPartyUnicodeLoginUserID,destCause_location,destCause_value,destPrecedenceLevel,destMediaTransportAddress_IP,destMediaTransportAddress_Port,destMediaCap_payloadCapability,destMediaCap_maxFramesPerPacket,destMediaCap_g723BitRate,destVideoCap_Codec,destVideoCap_Bandwidth,destVideoCap_Resolution,destVideoTransportAddress_IP,destVideoTransportAddress_Port,destRSVPAudioStat,destRSVPVideoStat,dateTimeConnect,dateTimeDisconnect,lastRedirectDn,pkid,originalCalledPartyNumberPartition,callingPartyNumberPartition,finalCalledPartyNumberPartition,lastRedirectDnPartition,duration,origDeviceName,destDeviceName,origCallTerminationOnBehalfOf,destCallTerminationOnBehalfOf,origCalledPartyRedirectOnBehalfOf,lastRedirectRedirectOnBehalfOf,origCalledPartyRedirectReason,lastRedirectRedirectReason,destConversationId,globalCallId_ClusterID,joinOnBehalfOf,comment,authCodeDescription,authorizationLevel,clientMatterCode,origDTMFMethod,destDTMFMethod,callSecuredStatus,origConversationId,origMediaCap_Bandwidth,destMediaCap_Bandwidth,authorizationCodeValue,outpulsedCallingPartyNumber,outpulsedCalledPartyNumber,origIpv4v6Addr,destIpv4v6Addr,origVideoCap_Codec_Channel2,origVideoCap_Bandwidth_Channel2,origVideoCap_Resolution_Channel2,origVideoTransportAddress_IP_Channel2,origVideoTransportAddress_Port_Channel2,origVideoChannel_Role_Channel2,destVideoCap_Codec_Channel2,destVideoCap_Bandwidth_Channel2,destVideoCap_Resolution_Channel2,destVideoTransportAddress_IP_Channel2,destVideoTransportAddress_Port_Channel2,destVideoChannel_Role_Channel2,incomingProtocolID,incomingProtocolCallRef,outgoingProtocolID,outgoingProtocolCallRef,currentRoutingReason,origRoutingReason,lastRedirectingRoutingReason,huntPilotDN,huntPilotPartition,calledPartyPatternUsage,outpulsedOriginalCalledPartyNumber,outpulsedLastRedirectingNumber,wasCallQueued,totalWaitTimeInQueue,callingPartyNumber_uri,originalCalledPartyNumber_uri,finalCalledPartyNumber_uri,lastRedirectDn_uri,mobileCallingPartyNumber,finalMobileCalledPartyNumber,origMobileDeviceName,destMobileDeviceName,origMobileCallDuration,destMobileCallDuration,mobileCallType,originalCalledPartyPattern,finalCalledPartyPattern,lastRedirectingPartyPattern,huntPilotPattern
1,8,1102,137949585,1641412560,8,0,554111242,7045301,SR_PAN_GATUN,0,16,4,554111242,22606,44,20,0,103,1920,10,554111242,25976,0,0,137949586,8,137949586,525178634,1181999035.cafvid,1181999035.cafvid,\ ,0,0,4,525178634,58738,44,20,0,103,1936,10,525178634,58740,0,0,1641412566,1641417924,1181999035.cafvid,160899f9-d8df-4775-bed2-0f7a5b0678f3,PT_Internas,PT_Internas,PT_Internas,PT_Internas,5358,SEP5CA62DC3F4F5,CDPTTPR24-SIP-TRUNK,12,0,0,0,0,0,0,CCAFCUCM,0,,,0,,2,3,2,0,64,64,,,,10.17.7.33,10.151.77.31,103,0,11,554111242,26324,0,103,0,11,525178634,58744,0,0,,1,7FF90D800001000000000099194D970A,0,0,0,,,9,,,0,0,SR_PAN_GATUN@cafvid.caf.com,1181999035.cafvid@m.webex.com,1181999035.cafvid@m.webex.com,1181999035.cafvid@m.webex.com,,,,,0,0,0,1181999035.cafvid@m.webex.com,1181999035.cafvid@m.webex.com,1181999035.cafvid@m.webex.com,
1,8,1103,137949587,1641571047,8,0,537334026,7045335,SR_PAN_BARU,0,16,4,537334026,21080,44,20,0,103,1920,10,537334026,26362,0,0,137949588,8,137949588,525178634,1193593402.cafvid,1193593402.cafvid,\ ,0,0,4,525178634,58776,44,20,0,103,1920,0,525178634,58778,0,0,1641571053,1641572607,1193593402.cafvid,caaf04aa-3475-4fe9-998d-5c6d0848afd3,PT_Internas,PT_Internas,PT_Internas,PT_Internas,1554,SEP5CA62DC3F64B,CDPTTPR24-SIP-TRUNK,12,0,0,0,0,0,0,CCAFCUCM,0,,,0,,2,3,2,0,64,64,,,,10.17.7.32,10.151.77.31,103,0,11,537334026,24610,0,103,0,11,525178634,58782,0,0,,1,81961300000100000000009A194D970A,0,0,0,,,9,,,0,0,SR_PAN_BARU@cafvid.caf.com,1193593402.cafvid@m.webex.com,1193593402.cafvid@m.webex.com,1193593402.cafvid@m.webex.com,,,,,0,0,0,1193593402.cafvid@m.webex.com,1193593402.cafvid@m.webex.com,1193593402.cafvid@m.webex.com,
1,8,1106,137949593,1641585450,8,0,570888458,7045392,SR_PAN_PORTOBELO,0,16,4,570888458,19434,44,20,0,103,1920,10,570888458,25330,0,0,137949594,8,137949594,525178634,1145066986.cafvid,1145066986.cafvid,\ ,0,0,4,525178634,58862,44,20,0,103,1936,10,525178634,58864,0,0,1641585452,1641589291,1145066986.cafvid,806b6f63-31c1-4c84-9516-3e409bbdf457,PT_Internas,PT_Internas,PT_Internas,PT_Internas,3839,SEPAC7A56244495,CDPTTPR24-SIP-TRUNK,12,0,0,0,0,0,0,CCAFCUCM,0,,,0,,2,3,2,0,64,64,,,,10.17.7.34,10.151.77.31,103,0,11,570888458,26032,0,103,0,11,525178634,58868,0,0,,1,0A717680000100000000009D194D970A,0,0,0,,,9,,,0,0,SR_PAN_PORTOBELO@cafvid.caf.com,1145066986.cafvid@m.webex.com,1145066986.cafvid@m.webex.com,1145066986.cafvid@m.webex.com,,,,,0,0,0,1145066986.cafvid@m.webex.com,1145066986.cafvid@m.webex.com,1145066986.cafvid@m.webex.com,
1,8,1104,137949589,1641585389,8,0,386339082,7045427,SR_PAN_CHAGRES,0,16,4,386339082,20456,44,20,0,103,1920,10,386339082,25220,0,0,137949590,8,137949590,525178634,1145066986.cafvid,1145066986.cafvid,\ ,0,0,4,525178634,58806,44,20,0,103,1936,10,525178634,58808,0,0,1641585394,1641592770,1145066986.cafvid,cfbe6692-628a-4c6c-8292-554989316126,PT_Internas,PT_Internas,PT_Internas,PT_Internas,7376,SEP00778D90B959,CDPTTPR24-SIP-TRUNK,12,0,0,0,0,0,0,CCAFCUCM,0,,,0,,2,3,2,0,64,64,,,,10.17.7.23,10.151.77.31,103,0,11,386339082,26316,0,103,0,11,525178634,58812,0,0,,1,E6159A00000100000000009B194D970A,0,0,0,,,9,,,0,0,SR_PAN_CHAGRES@cafvid.caf.com,1145066986.cafvid@m.webex.com,1145066986.cafvid@m.webex.com,1145066986.cafvid@m.webex.com,,,,,0,0,0,1145066986.cafvid@m.webex.com,1145066986.cafvid@m.webex.com,1145066986.cafvid@m.webex.com,
1,8,1105,137949591,1641585428,8,0,537334026,7045335,SR_PAN_BARU,0,0,4,537334026,23364,44,20,0,103,1920,10,537334026,25084,0,0,137949592,8,137949592,525178634,1145066986.cafvid,1145066986.cafvid,\ ,0,16,4,525178634,58834,44,20,0,103,1936,10,525178634,58836,0,0,1641585430,1641596372,1145066986.cafvid,51ee2bf6-fe93-42b0-b526-9b23e55b91bf,PT_Internas,PT_Internas,PT_Internas,PT_Internas,10942,SEP5CA62DC3F64B,CDPTTPR24-SIP-TRUNK,0,12,0,0,0,0,0,CCAFCUCM,0,,,0,,2,3,2,0,64,64,,,,10.17.7.32,10.151.77.31,103,0,11,537334026,25628,0,103,0,11,525178634,58840,0,0,,1,FD548780000100000000009C194D970A,0,0,0,,,9,,,0,0,SR_PAN_BARU@cafvid.caf.com,1145066986.cafvid@m.webex.com,1145066986.cafvid@m.webex.com,1145066986.cafvid@m.webex.com,,,,,0,0,0,1145066986.cafvid@m.webex.com,1145066986.cafvid@m.webex.com,1145066986.cafvid@m.webex.com,
1,9,1157,154726420,1642000001,9,0,470223626,7037327,GFELPETO,0,16,4,470223626,21590,44,20,0,103,1920,10,470223626,24766,0,0,154726421,9,154726421,525178634,1175077936.cafvid,1175077936.cafvid,\ ,0,0,4,525178634,58896,44,20,0,103,1936,10,525178634,58898,0,0,1642000007,1642003162,1175077936.cafvid,52bde28c-f7ff-4295-955e-c2e0698d5766,PT_Internas,PT_Internas,PT_Internas,PT_Internas,3155,SEP084FA9C7E1D5,CDPTTPR24-SIP-TRUNK,12,0,0,0,0,0,0,CCAFCUCM,0,,,0,,2,3,2,0,64,64,,,,10.11.7.28,10.151.77.31,103,0,11,470223626,24758,0,103,0,10,525178634,58902,0,0,,1,3E181C00000100000000009E194D970A,0,0,0,,,9,,,0,0,vc_gfelpeto@cafvid.caf.com,1175077936.cafvid@m.webex.com,1175077936.cafvid@m.webex.com,1175077936.cafvid@m.webex.com,,,,,0,0,0,1175077936.cafvid@m.webex.com,1175077936.cafvid@m.webex.com,1175077936.cafvid@m.webex.com,
1,8,1107,137949595,1642005677,8,0,419891722,7048617,SR_BRA_PARANA,0,16,4,419891722,19534,44,20,0,109,1936,0,419891722,24698,0,0,137949596,8,0,403114506,7048616,7048616,SR_BRA_SANFRANCISCO,0,0,4,403114506,18564,44,20,0,109,1936,0,403114506,24904,0,0,1642005688,1642005747,7048616,faf4948c-356c-4d23-85ca-d0febccc1e7b,Directory URI,PT_Internas,Directory URI,Directory URI,59,SEP6C310EC84A86,SEP6C310EC84AF8,12,0,0,0,0,0,0,CCAFCUCM,0,,,0,,2,2,2,0,64,64,,,,10.10.7.25,10.10.7.24,103,0,11,419891722,25620,0,103,0,11,403114506,25428,0,0,,0,,0,0,0,,,22,,,0,0,SR_BRA_PARANA@cafvid.caf.com,SR_BRA_SANFRANCISCO@cafvid.caf.com,SR_BRA_SANFRANCISCO@cafvid.caf.com,SR_BRA_SANFRANCISCO@cafvid.caf.com,,,,,0,0,0,SR_BRA_SANFRANCISCO@cafvid.caf.com,SR_BRA_SANFRANCISCO@cafvid.caf.com,SR_BRA_SANFRANCISCO@cafvid.caf.com,
1,9,1158,154726422,1642082485,9,0,369560330,7047392,SR_COL_MAGDALENA,0,16,4,369560330,21134,44,20,0,103,1920,10,369560330,26288,0,0,154726423,9,154726423,525178634,23372809179,23372809179,\ ,0,0,4,525178634,58926,44,20,0,103,1936,10,525178634,58928,0,0,1642082490,1642091919,23372809179,fcee5b5b-eeb7-4f8d-901c-4ca208860c26,PT_Internas,PT_Internas,PT_Internas,PT_Internas,9429,SEP683B7851E80D,CDPTTPR24-SIP-TRUNK,12,0,0,0,0,0,0,CCAFCUCM,0,,,0,,2,3,2,0,64,64,,,,10.11.7.22,10.151.77.31,103,0,11,369560330,25846,0,103,0,11,525178634,58932,0,0,,1,4A63AE00000100000000009F194D970A,0,0,0,,,9,,,0,0,SR_COL_MAGDALENA@cafvid.caf.com,23372809179@webex.com,23372809179@webex.com,23372809179@webex.com,,,,,0,0,0,([\\-.a-zA-Z0-9]?.[\\-.a-zA-Z0-9]?),([\\-.a-zA-Z0-9]?.[\\-.a-zA-Z0-9]?),([\\-.a-zA-Z0-9]?.[\\-.a-zA-Z0-9]?),
1,8,1108,137949597,1642096688,8,0,537334026,7045335,SR_PAN_BARU,0,16,4,537334026,21086,44,20,0,103,1920,10,537334026,24658,0,0,137949598,8,137949598,525178634,1166826902.cafvid,1166826902.cafvid,\ ,0,0,4,525178634,58956,44,20,0,103,1920,0,525178634,58958,0,0,1642096694,1642096997,1166826902.cafvid,bd975dc8-fac6-4943-8faa-c84ecdd7402b,PT_Internas,PT_Internas,PT_Internas,PT_Internas,303,SEP5CA62DC3F64B,CDPTTPR24-SIP-TRUNK,12,0,0,0,0,0,0,CCAFCUCM,0,,,0,,2,3,2,0,64,64,,,,10.17.7.32,10.151.77.31,103,0,11,537334026,24874,0,103,0,11,525178634,58962,0,0,,1,5C097D8000010000000000A0194D970A,0,0,0,,,9,,,0,0,SR_PAN_BARU@cafvid.caf.com,1166826902.cafvid@m.webex.com,1166826902.cafvid@m.webex.com,1166826902.cafvid@m.webex.com,,,,,0,0,0,1166826902.cafvid@m.webex.com,1166826902.cafvid@m.webex.com,1166826902.cafvid@m.webex.com,
1,8,1109,137949599,1642098835,8,0,570888458,7045392,SR_PAN_PORTOBELO,0,16,4,570888458,23640,44,20,0,103,1920,10,570888458,25686,0,0,137949600,8,137949600,525178634,1121481855.cafvid,1121481855.cafvid,\ ,0,0,4,525178634,58984,44,20,0,103,1920,0,525178634,58986,0,0,1642098838,1642099128,1121481855.cafvid,347c9d6a-3ad9-4fe5-838e-b8aeb3980a9c,PT_Internas,PT_Internas,PT_Internas,PT_Internas,290,SEPAC7A56244495,CDPTTPR24-SIP-TRUNK,12,0,0,0,0,0,0,CCAFCUCM,0,,,0,,2,3,2,0,64,64,,,,10.17.7.34,10.151.77.31,103,0,11,570888458,24616,0,103,0,11,525178634,58990,0,0,,1,5BBFB10000010000000000A1194D970A,0,0,0,,,9,,,0,0,SR_PAN_PORTOBELO@cafvid.caf.com,1121481855.cafvid@m.webex.com,1121481855.cafvid@m.webex.com,1121481855.cafvid@m.webex.com,,,,,0,0,0,1121481855.cafvid@m.webex.com,1121481855.cafvid@m.webex.com,1121481855.cafvid@m.webex.com,
