cdrRecordType,globalCallID_callManagerId,globalCallID_callId,origLegCallIdentifier,dateTimeOrigination,origNodeId,origSpan,origIpAddr,callingPartyNumber,callingPartyUnicodeLoginUserID,origCause_location,origCause_value,origPrecedenceLevel,origMediaTransportAddress_IP,origMediaTransportAddress_Port,origMediaCap_payloadCapability,origMediaCap_maxFramesPerPacket,origMediaCap_g723BitRate,origVideoCap_Codec,origVideoCap_Bandwidth,origVideoCap_Resolution,origVideoTransportAddress_IP,origVideoTransportAddress_Port,origRSVPAudioStat,origRSVPVideoStat,destLegIdentifier,destNodeId,destSpan,destIpAddr,originalCalledPartyNumber,finalCalledPartyNumber,finalCalledPartyUnicodeLoginUserID,destCause_location,destCause_value,destPrecedenceLevel,destMediaTransportAddress_IP,destMediaTransportAddress_Port,destMediaCap_payloadCapability,destMediaCap_maxFramesPerPacket,destMediaCap_g723BitRate,destVideoCap_Codec,destVideoCap_Bandwidth,destVideoCap_Resolution,destVideoTransportAddress_IP,destVideoTransportAddress_Port,destRSVPAudioStat,destRSVPVideoStat,dateTimeConnect,dateTimeDisconnect,lastRedirectDn,pkid,originalCalledPartyNumberPartition,callingPartyNumberPartition,finalCalledPartyNumberPartition,lastRedirectDnPartition,duration,origDeviceName,destDeviceName,origCallTerminationOnBehalfOf,destCallTerminationOnBehalfOf,origCalledPartyRedirectOnBehalfOf,lastRedirectRedirectOnBehalfOf,origCalledPartyRedirectReason,lastRedirectRedirectReason,destConversationId,globalCallId_ClusterID,joinOnBehalfOf,comment,authCodeDescription,authorizationLevel,clientMatterCode,origDTMFMethod,destDTMFMethod,callSecuredStatus,origConversationId,origMediaCap_Bandwidth,destMediaCap_Bandwidth,authorizationCodeValue,outpulsedCallingPartyNumber,outpulsedCalledPartyNumber,origIpv4v6Addr,destIpv4v6Addr,origVideoCap_Codec_Channel2,origVideoCap_Bandwidth_Channel2,origVideoCap_Resolution_Channel2,origVideoTransportAddress_IP_Channel2,origVideoTransportAddress_Port_Channel2,origVideoChannel_Role_Channel2,destVideoCap_Codec_Channel2,destVideoCap_Bandwidth_Channel2,destVideoCap_Resolution_Channel2,destVideoTransportAddress_IP_Channel2,destVideoTransportAddress_Port_Channel2,destVideoChannel_Role_Channel2,incomingProtocolID,incomingProtocolCallRef,outgoingProtocolID,outgoingProtocolCallRef,currentRoutingReason,origRoutingReason,lastRedirectingRoutingReason,huntPilotDN,huntPilotPartition,calledPartyPatternUsage,outpulsedOriginalCalledPartyNumber,outpulsedLastRedirectingNumber,wasCallQueued,totalWaitTimeInQueue,callingPartyNumber_uri,originalCalledPartyNumber_uri,finalCalledPartyNumber_uri,lastRedirectDn_uri,mobileCallingPartyNumber,finalMobileCalledPartyNumber,origMobileDeviceName,destMobileDeviceName,origMobileCallDuration,destMobileCallDuration,mobileCallType,originalCalledPartyPattern,finalCalledPartyPattern,lastRedirectingPartyPattern,huntPilotPattern
1,7,1013,121173809,1627590579,7,0,386338314,7048177,SR_BOL_ILLIMANI,0,16,4,386338314,17670,44,20,0,103,1936,10,386338314,24818,0,0,121173810,7,121173810,357406474,555555,555555,\ ,0,0,4,357406474,51264,44,20,0,103,1920,0,357406474,51266,0,0,1627590579,1627590607,555555,a3c42c0a-beef-4f7c-a9ef-eeacf6f729ea,PT_Internas,PT_Internas,PT_Internas,PT_Internas,28,SEP5CA62DC3F4F8,CDPTTPR29-SIP-TRUNK,12,0,0,0,0,0,0,CCAFCUCM,0,,,0,,2,2,2,0,64,64,,,,10.14.7.23,10.151.77.21,103,0,11,386338314,25642,0,103,0,11,357406474,51268,0,0,,1,B14C01000001000000000007184D970A,0,0,0,,,5,,,0,0,SR_BOL_ILLIMANI@cafvid.caf.com,,,,,,,,0,0,0,555555,555555,555555,
1,6,1016,104395641,1627592179,6,0,403139338,7042066,\ ,0,16,4,403139338,20768,44,20,0,103,1920,10,403139338,26140,0,0,104395642,6,104395642,525178634,1179174065.cafvid,1179174065.cafvid,\ ,0,0,4,525178634,49000,44,20,0,103,1936,10,525178634,49002,0,0,1627592185,1627595715,1179174065.cafvid,7e6ee27f-9ec9-42dd-945e-f8f76ec8d838,PT_Internas,PT_Internas,PT_Internas,PT_Internas,3530,SEP5C5AC7A8DB51,CDPTTPR24-SIP-TRUNK,12,0,0,0,0,0,0,CCAFCUCM,0,,,0,,2,3,2,0,64,64,,,,10.107.7.24,10.151.77.31,103,0,11,403139338,25912,0,103,0,11,525178634,49006,0,0,,1,6B913780000100000000000F174D970A,0,0,0,,,9,,,0,0,SR_VEN_ADIEST1@cafvid.caf.com,1179174065.cafvid@m.webex.com,1179174065.cafvid@m.webex.com,1179174065.cafvid@m.webex.com,,,,,0,0,0,1179174065.cafvid@m.webex.com,1179174065.cafvid@m.webex.com,1179174065.cafvid@m.webex.com,
1,6,1018,104395645,1627926907,6,0,369562122,7035215,JBRANSKI,0,16,4,369562122,19738,44,20,0,103,1920,10,369562122,24642,0,0,104395646,6,104395646,525178634,1163150655.cafvid,1163150655.cafvid,\ ,0,0,4,525178634,49030,44,20,0,103,1920,10,525178634,49032,0,0,1627926911,1627927035,1163150655.cafvid,db5390b1-27ef-4efe-83c6-d05694f389f2,PT_Internas,PT_Internas,PT_Internas,PT_Internas,124,SEP084FA91E33D7,CDPTTPR24-SIP-TRUNK,12,0,0,0,0,0,0,CCAFCUCM,0,,,0,,2,3,2,0,64,64,,,,10.18.7.22,10.151.77.31,103,0,11,369562122,24916,0,103,0,10,525178634,49036,0,0,,1,C46815000001000000000010174D970A,0,0,0,,,9,,,0,0,vc_jbranski@cafvid.caf.com,1163150655.cafvid@m.webex.com,1163150655.cafvid@m.webex.com,1163150655.cafvid@m.webex.com,,,,,0,0,0,1163150655.cafvid@m.webex.com,1163150655.cafvid@m.webex.com,1163150655.cafvid@m.webex.com,
1,6,1019,104395647,1627927034,6,0,772238090,7042372,SR_VEN_CALMECAC,0,16,4,772238090,17612,44,20,0,103,1920,10,772238090,26322,0,0,104395648,6,104395648,525178634,1127053161.cafvid,1127053161.cafvid,\ ,0,0,4,525178634,49058,44,20,0,103,1920,0,525178634,49060,0,0,1627927038,1627927100,1127053161.cafvid,c9f95b41-f979-4805-b3bf-5b605106ac46,PT_Internas,PT_Internas,PT_Internas,PT_Internas,62,SEPCC7F76FD8AB4,CDPTTPR24-SIP-TRUNK,12,0,0,0,0,0,0,CCAFCUCM,0,,,0,,2,3,2,0,64,64,,,,10.107.7.46,10.151.77.31,103,0,11,772238090,24908,0,103,0,11,525178634,49064,0,0,,1,101ABE800001000000000011174D970A,0,0,0,,,9,,,0,0,,1127053161.cafvid@m.webex.com,1127053161.cafvid@m.webex.com,1127053161.cafvid@m.webex.com,,,,,0,0,0,1127053161.cafvid@m.webex.com,1127053161.cafvid@m.webex.com,1127053161.cafvid@m.webex.com,
1,6,1020,104395649,1627995528,6,0,419893002,7046436,SR_ARG_VIEDMA,0,0,4,419893002,24082,44,20,0,103,1920,10,419893002,26374,0,0,104395650,6,104395650,525178634,1112933927.cafvid,1112933927.cafvid,\ ,0,16,4,525178634,49086,44,20,0,103,1936,10,525178634,49088,0,0,1627995533,1627997355,1112933927.cafvid,9b704f00-02f0-4f5d-8307-60266897b18b,PT_Internas,PT_Internas,PT_Internas,PT_Internas,1822,SEPCC7F76FD8AB1,CDPTTPR24-SIP-TRUNK,0,12,0,0,0,0,0,CCAFCUCM,0,,,0,,2,3,2,0,64,64,,,,10.15.7.25,10.151.77.31,103,0,11,419893002,24872,0,103,0,11,525178634,49092,0,0,,1,89B5B9800001000000000012174D970A,0,0,0,,,9,,,0,0,SR_ARG_VIEDMA@cafvid.caf.com,1112933927.cafvid@m.webex.com,1112933927.cafvid@m.webex.com,1112933927.cafvid@m.webex.com,,,,,0,0,0,1112933927.cafvid@m.webex.com,1112933927.cafvid@m.webex.com,1112933927.cafvid@m.webex.com,
1,6,1021,104395651,1627999688,6,0,487001866,7036456,CASINELLI,0,16,4,487001866,20534,44,20,0,103,1920,10,487001866,25838,0,0,104395652,6,104395652,525178634,1136464290.cafvid,1136464290.cafvid,\ ,0,0,4,525178634,49116,44,20,0,103,1920,10,525178634,49118,0,0,1627999692,1628001022,1136464290.cafvid,36e50140-ba58-4539-b14b-c5d846efa8c7,PT_Internas,PT_Internas,PT_Internas,PT_Internas,1330,SEP1C6A7AE09064,CDPTTPR24-SIP-TRUNK,12,0,0,0,0,0,0,CCAFCUCM,0,,,0,,2,3,2,0,64,64,,,,10.15.7.29,10.151.77.31,103,0,11,487001866,24910,0,103,0,10,525178634,49122,0,0,,1,394359800001000000000013174D970A,0,0,0,,,9,,,0,0,,1136464290.cafvid@m.webex.com,1136464290.cafvid@m.webex.com,1136464290.cafvid@m.webex.com,,,,,0,0,0,1136464290.cafvid@m.webex.com,1136464290.cafvid@m.webex.com,1136464290.cafvid@m.webex.com,
1,6,1022,104395653,1628001023,6,0,487001866,7036456,CASINELLI,0,16,4,487001866,19426,44,20,0,103,1920,10,487001866,25476,0,0,104395654,6,104395654,525178634,1176726136.cafvid,1176726136.cafvid,\ ,0,0,4,525178634,49146,44,20,0,103,1920,10,525178634,49148,0,0,1628001027,1628001887,1176726136.cafvid,4f78b3b2-2f01-40b7-9317-06152f322c4f,PT_Internas,PT_Internas,PT_Internas,PT_Internas,860,SEP1C6A7AE09064,CDPTTPR24-SIP-TRUNK,12,0,0,0,0,0,0,CCAFCUCM,0,,,0,,2,3,2,0,64,64,,,,10.15.7.29,10.151.77.31,103,0,11,487001866,26044,0,103,0,10,525178634,49152,0,0,,1,54FC2F000001000000000014174D970A,0,0,0,,,9,,,0,0,,1176726136.cafvid@m.webex.com,1176726136.cafvid@m.webex.com,1176726136.cafvid@m.webex.com,,,,,0,0,0,1176726136.cafvid@m.webex.com,1176726136.cafvid@m.webex.com,1176726136.cafvid@m.webex.com,
1,6,1023,104395655,1628002532,6,0,487001866,7036456,CASINELLI,0,16,4,487001866,23678,44,20,0,103,1920,10,487001866,24996,0,0,104395656,6,104395656,525178634,1136464290.cafvid,1136464290.cafvid,\ ,0,0,4,525178634,49174,44,20,0,103,1920,10,525178634,49176,0,0,1628002534,1628002538,1136464290.cafvid,9b007026-bbfb-4e25-ae9b-25a807fb3baf,PT_Internas,PT_Internas,PT_Internas,PT_Internas,4,SEP1C6A7AE09064,CDPTTPR24-SIP-TRUNK,12,0,0,0,0,0,0,CCAFCUCM,0,,,0,,2,3,2,0,64,64,,,,10.15.7.29,10.151.77.31,103,0,11,487001866,25326,0,103,0,10,525178634,49180,0,0,,1,D86B4F800001000000000015174D970A,0,0,0,,,9,,,0,0,,1136464290.cafvid@m.webex.com,1136464290.cafvid@m.webex.com,1136464290.cafvid@m.webex.com,,,,,0,0,0,1136464290.cafvid@m.webex.com,1136464290.cafvid@m.webex.com,1136464290.cafvid@m.webex.com,
1,6,1024,104395657,1628013668,6,0,487001866,7036456,CASINELLI,0,16,4,487001866,23740,44,20,0,103,1920,10,487001866,26260,0,0,104395658,6,104395658,525178634,1126415652.cafvid,1126415652.cafvid,\ ,0,0,4,525178634,49202,44,20,0,103,1920,10,525178634,49204,0,0,1628013672,1628015185,1126415652.cafvid,8c7f95fb-1985-4a0f-a470-2978b490824f,PT_Internas,PT_Internas,PT_Internas,PT_Internas,1513,SEP1C6A7AE09064,CDPTTPR24-SIP-TRUNK,12,0,0,0,0,0,0,CCAFCUCM,0,,,0,,2,3,2,0,64,64,,,,10.15.7.29,10.151.77.31,103,0,11,487001866,24612,0,103,0,10,525178634,49208,0,0,,1,C5FE0F800001000000000016174D970A,0,0,0,,,9,,,0,0,,1126415652.cafvid@m.webex.com,1126415652.cafvid@m.webex.com,1126415652.cafvid@m.webex.com,,,,,0,0,0,1126415652.cafvid@m.webex.com,1126415652.cafvid@m.webex.com,1126415652.cafvid@m.webex.com,
1,6,1025,104395659,1628018186,6,0,487001866,7036456,CASINELLI,0,16,4,487001866,22668,44,20,0,103,1920,10,487001866,25324,0,0,104395660,6,104395660,525178634,1156402949.cafvid,1156402949.cafvid,\ ,0,0,4,525178634,49232,44,20,0,103,1936,10,525178634,49234,0,0,1628018190,1628020282,1156402949.cafvid,7169fab7-f084-40bc-a9bf-cc1e3e8f9116,PT_Internas,PT_Internas,PT_Internas,PT_Internas,2092,SEP1C6A7AE09064,CDPTTPR24-SIP-TRUNK,12,0,0,0,0,0,0,CCAFCUCM,0,,,0,,2,3,2,0,64,64,,,,10.15.7.29,10.151.77.31,103,0,11,487001866,26384,0,103,0,10,525178634,49238,0,0,,1,4AEE26800001000000000017174D970A,0,0,0,,,9,,,0,0,,1156402949.cafvid@m.webex.com,1156402949.cafvid@m.webex.com,1156402949.cafvid@m.webex.com,,,,,0,0,0,1156402949.cafvid@m.webex.com,1156402949.cafvid@m.webex.com,1156402949.cafvid@m.webex.com,
