cdrRecordType,globalCallID_callManagerId,globalCallID_callId,orignodeId,destnodeId,origlegcallIdentifier,destlegidentifier,orignumberPacketsSent,orignumberOctetsSent,orignumberPacketsReceived,orignumberOctetsReceived,orignumberPacketsLost,destnumberPacketsSent,destnumberOctetsSent,destnumberPacketsReceived,destnumberOctetsReceived,destnumberPacketsLost,origjitter,destjitter,origlatency,destlatency,pkid,origdeviceName,destdeviceName,origvarVQMetrics,destvarVQMetrics,globalCallId_ClusterID,callingPartyNumber,finalCalledPartyNumber,callingPartyNumberPartition,finalCalledPartyNumberPartition
1,8,1102,8,8,137949585,137949586,,,,,,,,,,,,,,,160899f9-d8df-4775-bed2-0f7a5b0678f3,SEP5CA62DC3F4F5,CDPTTPR24-SIP-TRUNK,,,CCAFCUCM,7045301,1181999035.cafvid,PT_Internas,PT_Internas
1,8,1103,8,8,137949587,137949588,,,,,,,,,,,,,,,caaf04aa-3475-4fe9-998d-5c6d0848afd3,SEP5CA62DC3F64B,CDPTTPR24-SIP-TRUNK,,,CCAFCUCM,7045335,1193593402.cafvid,PT_Internas,PT_Internas
1,8,1106,8,8,137949593,137949594,,,,,,,,,,,,,,,806b6f63-31c1-4c84-9516-3e409bbdf457,SEPAC7A56244495,CDPTTPR24-SIP-TRUNK,,,CCAFCUCM,7045392,1145066986.cafvid,PT_Internas,PT_Internas
1,8,1104,8,8,137949589,137949590,,,,,,,,,,,,,,,cfbe6692-628a-4c6c-8292-554989316126,SEP00778D90B959,CDPTTPR24-SIP-TRUNK,,,CCAFCUCM,7045427,1145066986.cafvid,PT_Internas,PT_Internas
1,8,1105,8,8,137949591,137949592,,,,,,,,,,,,,,,51ee2bf6-fe93-42b0-b526-9b23e55b91bf,SEP5CA62DC3F64B,CDPTTPR24-SIP-TRUNK,,,CCAFCUCM,7045335,1145066986.cafvid,PT_Internas,PT_Internas
1,9,1157,9,9,154726420,154726421,,,,,,,,,,,,,,,52bde28c-f7ff-4295-955e-c2e0698d5766,SEP084FA9C7E1D5,CDPTTPR24-SIP-TRUNK,,,CCAFCUCM,7037327,1175077936.cafvid,PT_Internas,PT_Internas
1,8,1107,8,8,137949595,137949596,,,,,,,,,,,,,,,faf4948c-356c-4d23-85ca-d0febccc1e7b,SEP6C310EC84A86,SEP6C310EC84AF8,,,CCAFCUCM,7048617,7048616,PT_Internas,Directory URI
1,9,1158,9,9,154726422,154726423,,,,,,,,,,,,,,,fcee5b5b-eeb7-4f8d-901c-4ca208860c26,SEP683B7851E80D,CDPTTPR24-SIP-TRUNK,,,CCAFCUCM,7047392,23372809179,PT_Internas,PT_Internas
1,8,1108,8,8,137949597,137949598,,,,,,,,,,,,,,,bd975dc8-fac6-4943-8faa-c84ecdd7402b,SEP5CA62DC3F64B,CDPTTPR24-SIP-TRUNK,,,CCAFCUCM,7045335,1166826902.cafvid,PT_Internas,PT_Internas
1,8,1109,8,8,137949599,137949600,,,,,,,,,,,,,,,347c9d6a-3ad9-4fe5-838e-b8aeb3980a9c,SEPAC7A56244495,CDPTTPR24-SIP-TRUNK,,,CCAFCUCM,7045392,1121481855.cafvid,PT_Internas,PT_Internas
1,6,1173,6,6,104395981,104395982,,,,,,,,,,,,,,,8ddcc71a-5593-44fd-8241-244baf44732d,SEPAC4A677ED6F7,CDPTTPR24-SIP-TRUNK,,,CCAFCUCM,7046438,1112321610.cafvid,PT_Internas,PT_Internas
1,9,1159,9,9,154726424,154726425,,,,,,,,,,,,,,,cd5ee0f5-5ff2-42d6-88cc-ab0f53f71ff9,SEP703509C41409,CDPTTPR24-SIP-TRUNK,,,CCAFCUCM,7047332,1185319979.cafvid,PT_Internas,PT_Internas
1,9,1160,9,9,154726426,154726427,,,,,,,,,,,,,,,20c957dc-a8f0-44d6-a8af-8b0fd51d2cad,SEP703509C41409,CDPTTPR24-SIP-TRUNK,,,CCAFCUCM,7047332,1119821866.cafvid,PT_Internas,PT_Internas
1,8,1110,8,8,137949601,137949602,,,,,,,,,,,,,,,0bd09ff2-9db5-42ef-a6a2-80efa12e550c,SEP00778D90B959,CDPTTPR24-SIP-TRUNK,,,CCAFCUCM,7045427,1198672577.cafvid,PT_Internas,PT_Internas
1,9,1161,9,9,154726428,154726429,,,,,,,,,,,,,,,ce4b325f-c88f-40c4-a9cf-fa78329e01f3,SEP703509C41409,CDPTTPR24-SIP-TRUNK,,,CCAFCUCM,7047332,1162488309.cafvid,PT_Internas,PT_Internas
1,9,1162,9,9,154726430,154726431,,,,,,,,,,,,,,,89ba09dc-f1a6-4a7c-83fd-1210bd9ac962,SEP703509C41409,CDPTTPR24-SIP-TRUNK,,,CCAFCUCM,7047332,1159657242.cafvid,PT_Internas,PT_Internas
1,9,1163,9,9,154726432,154726433,,,,,,,,,,,,,,,f9952fa7-6241-4c16-8e06-361956731f6d,SEP703509C41409,CDPTTPR24-SIP-TRUNK,,,CCAFCUCM,7047332,1135853697.cafvid,PT_Internas,PT_Internas
1,9,1164,9,9,154726434,154726435,,,,,,,,,,,,,,,62612cee-6e0d-4fad-8736-3ebd1aea0ae0,SEP703509C41409,CDPTTPR24-SIP-TRUNK,,,CCAFCUCM,7047332,1177029596.cafvid,PT_Internas,PT_Internas
1,9,1165,9,9,154726436,154726437,,,,,,,,,,,,,,,cd358233-8a3e-4563-ac11-3e8d80d2f986,SEP703509C41409,CDPTTPR24-SIP-TRUNK,,,CCAFCUCM,7047332,1157838412.cafvid,PT_Internas,PT_Internas
1,9,1166,9,9,154726438,154726439,,,,,,,,,,,,,,,03b2a219-d0dd-49b3-9fcd-855702d9667f,SEP703509C41409,CDPTTPR24-SIP-TRUNK,,,CCAFCUCM,7047332,1182882279.cafvid,PT_Internas,PT_Internas
1,9,1167,9,9,154726440,154726441,,,,,,,,,,,,,,,79e389c9-e62b-4343-9d9a-247d56b3e080,SEP703509C41409,CDPTTPR24-SIP-TRUNK,,,CCAFCUCM,7047332,1159137938.cafvid,PT_Internas,PT_Internas
1,9,1168,9,9,154726442,154726443,,,,,,,,,,,,,,,e08758e1-d1f9-428a-ba13-e9d066e07483,SEP703509C41409,CDPTTPR24-SIP-TRUNK,,,CCAFCUCM,7047332,1153598268.cafvid,PT_Internas,PT_Internas
1,6,1174,6,6,104395983,104395984,,,,,,,,,,,,,,,067d286a-f418-4dab-b0f4-790138ff7431,SEPAC4A677ED6F7,CDPTTPR24-SIP-TRUNK,,,CCAFCUCM,7046438,1143016934.cafvid,PT_Internas,PT_Internas
1,9,1169,9,9,154726444,154726445,,,,,,,,,,,,,,,ddc9beac-f13e-4a32-b41d-4f4106181ad1,SEP703509C41409,CDPTTPR24-SIP-TRUNK,,,CCAFCUCM,7047332,1170688663.cafvid,PT_Internas,PT_Internas
1,9,1170,9,9,154726446,154726447,,,,,,,,,,,,,,,2d92522f-ce15-4a04-bc2b-70f4585eac88,SEP703509C41409,CDPTTPR24-SIP-TRUNK,,,CCAFCUCM,7047332,1144942679.cafvid,PT_Internas,PT_Internas
1,9,1171,9,9,154726448,154726449,,,,,,,,,,,,,,,5d0a637e-eaf0-47a5-b208-64c03192290e,SEP6C310EC84AAD,SEPAC7A562444A4,,,CCAFCUCM,7047331,7047330,PT_Internas,Directory URI
1,9,1173,9,9,154726453,154726454,,,,,,,,,,,,,,,f5de5ba3-3654-4b25-abb3-96ea034863b5,SEP6C310EC84AAD,SEP703509C41409,,,CCAFCUCM,7047331,7047332,PT_Internas,Directory URI
1,9,1172,9,9,154726450,154726451,,,,,,,,,,,,,,,911c2ad4-2354-46b7-8674-303215e333ba,SEP6C310EC84AAD,SEPAC7A562444A4,,,CCAFCUCM,7047331,7047330,PT_Internas,Directory URI
1,9,1173,9,4,154726451,154726458,,,,,,,,,,,,,,,d24822b3-4ca1-4452-b1d2-c6762bd9245a,SEPAC7A562444A4,CFBCDPTTPR29,,,CCAFCUCM,7047330,4229010002,Directory URI,
1,9,1173,9,4,154726453,154726456,,,,,,,,,,,,,,,3fc583a7-21fa-4ca9-b12f-134e9700d328,SEP6C310EC84AAD,CFBCDPTTPR29,,,CCAFCUCM,7047331,4229010002,PT_Internas,
1,9,1173,9,4,154726454,154726457,,,,,,,,,,,,,,,4f1cf8f8-7b37-4640-b755-84573ae3a5d4,SEP703509C41409,CFBCDPTTPR29,,,CCAFCUCM,7047332,4229010002,Directory URI,
1,9,1173,9,9,154726453,154726454,,,,,,,,,,,,,,,f0d4da8b-2bf8-4ddc-951d-55744d400428,SEP6C310EC84AAD,SEP703509C41409,,,CCAFCUCM,7047331,7047332,PT_Internas,Directory URI
1,9,1178,9,9,154726471,154726472,,,,,,,,,,,,,,,4faab21d-d286-4749-8c22-4498eabbe480,SEP703509C41409,CDPTTPR24-SIP-TRUNK,,,CCAFCUCM,7047332,1188141496.cafvid,PT_Internas,PT_Internas
1,6,1206,6,6,104396069,104396070,,,,,,,,,,,,,,,79d895b0-aec3-4d0e-be5a-cc58ebbc4aef,SEPCC7F76FD8AE1,CDPTTPR24-SIP-TRUNK,,,CCAFCUCM,7046433,1122213866.cafvid,PT_Internas,PT_Internas
1,6,1207,6,6,104396071,104396072,,,,,,,,,,,,,,,846950fd-2390-45e5-b469-dd6b6bf2b35b,SEPCC7F76FD8AE1,CDPTTPR24-SIP-TRUNK,,,CCAFCUCM,7046433,1122213866.cafvid,PT_Internas,PT_Internas
1,9,1179,9,9,154726473,154726474,,,,,,,,,,,,,,,0d31b185-60d9-4df0-97b2-945f0d6be175,SEP703509C41409,CDPTTPR24-SIP-TRUNK,,,CCAFCUCM,7047332,1193691624.cafvid,PT_Internas,PT_Internas
1,9,1180,9,9,154726475,154726476,,,,,,,,,,,,,,,7113c925-cc51-4479-b8a2-c0c74bb67f06,SEP703509C41409,CDPTTPR24-SIP-TRUNK,,,CCAFCUCM,7047332,1193691624.cafvid,PT_Internas,PT_Internas
1,9,1181,9,9,154726477,154726478,,,,,,,,,,,,,,,5302b2cb-bd7e-433b-8960-b0b335cd253f,SEP703509C41409,CDPTTPR24-SIP-TRUNK,,,CCAFCUCM,7047332,1193428968.cafvid,PT_Internas,PT_Internas
