DEVICE POOL NAME,CISCO UNIFIED CALLMANAGER GROUP,DATE/TIME GROUP,REGION,SRST REFERENCE,CALLING SEARCH SPACE FOR AUTO-REGISTRATION,AAR CALLING SEARCH SPACE,DEVICE MOBILITY CALLING SEARCH SPACE,MEDIA RESOURCE GROUP LIST,LOCATION,NETWORK LOCALE,CONNECTION MONITOR DURATION,DEVICE MOBILITY GROUP,AAR GROUP,REVERTED CALL FOCUS PRIORITY,CALLING PARTY TRANSFORMATION CSS,CALLED PARTY TRANSFORMATION CSS,INCOMING CALLING PARTY NATIONAL NUMBER PREFIX,INCOMING CALLING PARTY INTERNATIONAL NUMBER PREFIX,INCOMING CALLING PARTY UNKNOWN NUMBER PREFIX,INCOMING CALLING PARTY SUBSCRIBER NUMBER PREFIX,GEO LOCATION,GEO LOCATION FILTER,PHYSICAL LOCATION,INCOMING CALLINGPARTYINTERNATIONALNUMDIGITSTOSTRIP,INCOMING CALLINGPARTYUNKNOWNNUM DIGITSTOSTRIP,INCOMING CALLINGPARTYSUBSCRIBERNUM DIGITSTOSTRIP,CALLINGPARTYTRANSFORMATIONCSS FOR NATIONALNUM,CALLINGPARTYTRANSFORMATIONCSS FOR INTERNATIONALNUM,CALLINGPARTYTRANSFORMATIONCSS FOR UNKNOWNNUM,CALLINGPARTYTRANSFORMATIONCSS FOR SUBSCRIBERNUM,JOIN ACROSS LINES,SINGLE BUTTON BARGE,ADJUNCT CSS,INCOMING CALLINGPARTYNATIONALNUM DIGITSTOSTRIP,ENROLLED GROUP,INCOMING CALLED PARTY NATIONAL NUMBER PREFIX,INCOMING CALLED PARTY INTERNATIONAL NUMBER PREFIX,INCOMING CALLED PARTY UNKNOWN NUMBER PREFIX,INCOMING CALLED PARTY SUBSCRIBER NUMBER PREFIX,INCOMING CALLEDPARTYNATIONALNUMDIGITSTOSTRIP,INCOMING CALLEDPARTYINTERNATIONNUM DIGITSTOSTRIP,INCOMING CALLEDPARTYUNKNOWNNUM DIGITSTOSTRIP,INCOMING CALLEDPARTYSUBSCRIBERNUM DIGITSTOSTRIP,CALLEDPARTYTRANSFORMATIONCSS FOR NATIONALNUM,CALLEDPARTYTRANSFORMATIONCSS FOR INTERNATIONALNUM,CALLEDPARTYTRANSFORMATIONCSS FOR UNKNOWNNUM,CALLEDPARTYTRANSFORMATIONCSS FOR SUBSCRIBERNUM,CONNECTED PARTY TRANSFORMATION CSS,REDIRECTING PARTY TRANSFORMATION CSS,WIRELESS LAN PROFILE GROUP,EMERGENCY LOCATION (ELIN) GROUP,CALLING PARTY TRANSFORMATION CSS,Local Route Group 0,Route Group 0
CAFESPDP001,CAFCCMGC002,TG_Espana,RG_Espana,Disable,NULL,NULL,NULL,CAFESPMRGL001,NULL,United States,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
Default,Default,CMLocal,Default,Disable,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
CAFPERDP001,CAFCCMGC002,TG_Peru,RG_Peru,Disable,NULL,NULL,NULL,CAFPERMRGL001,NULL,United States,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
DP_CMS_Panama,CAFCCMGC001,TG_Panama,REG_CMS,Disable,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
CAFPARDP001,CAFCCMGC001,TG_Paraguay,RG_Paraguay,Disable,NULL,NULL,NULL,CAFPARMRGL001,NULL,United States,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
CAFECUDP001,CAFCCMGC001,TG_Ecuador,RG_Ecuador,Disable,NULL,NULL,NULL,CAFECUMRGL001,NULL,United States,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
CAFBOLDP001,CAFCCMGC002,TG_Bolivia,RG_Bolivia,Disable,NULL,NULL,NULL,CAFBOLMRGL001,NULL,United States,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
CAFPANDP001,CAFCCMGC003,TG_Panama,RG_Panama,Disable,NULL,NULL,NULL,CAFPANMRGL001,NULL,United States,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
CAFCOLDP001,CAFCCMGC004,TG_Colombia,RG_Colombia,Disable,NULL,NULL,NULL,CAFCOLMRGL001,NULL,United States,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
DP_Expressway,CAFCCMGC001,TG_Venezuela,REG_EXPRESSWAY,Disable,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
