cdrRecordType,globalCallID_callManagerId,globalCallID_callId,orignodeId,destnodeId,origlegcallIdentifier,destlegidentifier,orignumberPacketsSent,orignumberOctetsSent,orignumberPacketsReceived,orignumberOctetsReceived,orignumberPacketsLost,destnumberPacketsSent,destnumberOctetsSent,destnumberPacketsReceived,destnumberOctetsReceived,destnumberPacketsLost,origjitter,destjitter,origlatency,destlatency,pkid,origdeviceName,destdeviceName,origvarVQMetrics,destvarVQMetrics,globalCallId_ClusterID,callingPartyNumber,finalCalledPartyNumber,callingPartyNumberPartition,finalCalledPartyNumberPartition
1,6,6310381,6,4,109427596,109427597,611,10342,760,24288,0,782,25024,610,17660,0,1,7,1,0,6790bd05-556d-40ae-80a6-00712c71554e,SEP00279025BB0F,SEP34DBFDCC93C1,CCR=0.0000;ICR=0.0000;ICRmx=0.0000;CS=0;SCS=0;Ver=0.90;VoRxCodec=G.729 Anne;CID=16;VoPktSizeMs=20;VoPktLost=0;VoPktDis=1;VoOneWayDelayMs=0;maxJitter=5,MLQK=3.6333;MLQKav=3.6391;MLQKmn=3.6333;MLQKmx=3.6450;ICR=0.0043;CCR=0.0040;ICRmx=0.0092;CS=3;SCS=0;MLQKvr=0.95,StandAloneCluster,3133,2222,IP PHONES Uruguay 2,IP PHONES Venezuela
1,6,6310382,6,4,109427598,109427599,834,26688,830,26560,0,828,26496,825,26400,0,0,0,0,0,c646e652-017c-4c01-bf5e-883bc81204fe,SEP001646776BDD,SEP34DBFDCC93C1,MLQK=3.7001;MLQKav=3.7001;MLQKmn=3.7001;MLQKmx=3.7001;MLQKvr=0.95;CCR=0.0000;ICR=0.0000;ICRmx=0.0000;CS=0;SCS=0,MLQK=3.7001;MLQKav=3.6982;MLQKmn=3.6855;MLQKmx=3.7001;ICR=0.0000;CCR=0.0006;ICRmx=0.0035;CS=1;SCS=0;MLQKvr=0.95,StandAloneCluster,8116,2222,IP PHONES Bolivia,IP PHONES Venezuela
1,6,6310383,6,6,109427604,109427605,1484,230576,1457,250432,0,,,,,,0,,1,,1001cd94-6971-4de2-9825-83fa08395028,SEP00279025BB0F,SIP_Trunk_Uruguay_Antel,CCR=0.0022;ICR=0.0032;ICRmx=0.0133;CS=3;SCS=0;Ver=0.90;VoRxCodec=G.711 u-la;CID=4;VoPktSizeMs=20;VoPktLost=0;VoPktDis=1;VoOneWayDelayMs=0;maxJitter=46,,StandAloneCluster,3133,122089824,IP PHONES Uruguay 2,Locales Uruguay_2
1,4,7813573,4,4,75936558,75936559,706,112960,705,112800,0,706,121432,703,120916,0,5,1,0,0,e5c38f67-0623-4601-93dd-3237f5872387,SEP0C2724559D18,SEP34DBFDCD0C0C,MLQK=4.5000;MLQKav=4.5000;MLQKmn=4.5000;MLQKmx=4.5000;ICR=0.0000;CCR=0.0000;ICRmx=0.0000;CS=0;SCS=0;MLQKvr=0.9500,MLQK=4.5000;MLQKav=4.5000;MLQKmn=4.5000;MLQKmx=4.5000;ICR=0.0000;CCR=0.0000;ICRmx=0.0000;CS=0;SCS=0;MLQKvr=0.95,StandAloneCluster,6535,2447,IP PHONES Venezuela,IP PHONES Venezuela
1,4,7813574,4,4,75936571,75936572,598,102856,596,102512,0,600,96000,597,95520,0,1,16,0,0,b421d2b5-7d7d-45e1-9c73-da111c1d430e,SEP34DBFDCD0C0C,SEP0C272455C020,MLQK=4.5000;MLQKav=4.5000;MLQKmn=4.5000;MLQKmx=4.5000;ICR=0.0000;CCR=0.0000;ICRmx=0.0000;CS=0;SCS=0;MLQKvr=0.95,MLQK=4.4438;MLQKav=4.4438;MLQKmn=4.4438;MLQKmx=4.4438;ICR=0.0000;CCR=0.0011;ICRmx=0.0033;CS=1;SCS=0;MLQKvr=0.9500,StandAloneCluster,2447,2279,IP PHONES Venezuela,IP PHONES sin DDE
1,4,7813575,4,4,75936576,75936577,48,7680,46,7360,0,,,,,,5509010,,0,,952a50ee-952a-4a8f-ab03-12cf0c1ad9d9,SEP0C272455C020,AN00F137DEFF400,MLQK=0.0000;MLQKav=0.0000;MLQKmn=0.0000;MLQKmx=0.0000;ICR=0.0000;CCR=0.0000;ICRmx=0.0000;CS=0;SCS=0;MLQKvr=0.9500,,StandAloneCluster,2279,2472,IP PHONES sin DDE,IP PHONES sin DDE
1,6,6310418,6,4,109427674,109427675,805,16004,805,25728,0,831,16620,809,16084,0,4,4,1,0,6f932f2e-a9f2-478d-a946-9ff7517be6f8,SEPF0B2E576DDF4,CiscoUM1-VI1,CCR=0.0066;ICR=0.0033;ICRmx=0.0131;CS=5;SCS=0;Ver=0.90;VoRxCodec=G.729 Anne;CID=13;VoPktSizeMs=20;VoPktLost=0;VoPktDis=1;VoOneWayDelayMs=0;maxJitter=68,,StandAloneCluster,3284,8000,IP PHONES Uruguay 2,IP PHONES Venezuela
1,6,6310419,6,6,109427676,109427677,134,18476,109,18576,0,,,,,,2,,1,,1e5683df-fd49-4b26-b7a4-a1949db89bb1,SEP204C9EB2FDCA,SIP_Trunk_InterGrupo,CCR=0.0000;ICR=0.0000;ICRmx=0.0000;CS=1;SCS=0;Ver=0.90;VoRxCodec=G.711 u-la;CID=4;VoPktSizeMs=20;VoPktLost=0;VoPktDis=1;VoOneWayDelayMs=0;maxJitter=11,,StandAloneCluster,3281,2200,IP PHONES Uruguay 2,IP PHONES Venezuela
1,4,7813579,4,4,75936587,75936588,,,,,,1345,231340,1346,231512,0,,1,,0,e4147040-c54f-4d19-be1d-b777dfe56365,AN00F137DEFF400,SEP34DBFDCD0C0C,,MLQK=4.5000;MLQKav=4.5000;MLQKmn=4.5000;MLQKmx=4.5000;ICR=0.0000;CCR=0.0000;ICRmx=0.0000;CS=1;SCS=0;MLQKvr=0.95,StandAloneCluster,2472,2222,IP PHONES sin DDE,IP PHONES Venezuela
1,6,6310429,6,4,109427688,109427689,84,1680,90,2848,0,116,2320,88,1760,0,2,2,1,0,d0682c8a-6780-4d4a-8661-0a2c96a210ba,SEP701F534C3CC0,CiscoUM1-VI1,CCR=0.0000;ICR=0.0000;ICRmx=0.0000;CS=1;SCS=0;Ver=0.90;VoRxCodec=G.729 Anne;CID=13;VoPktSizeMs=20;VoPktLost=0;VoPktDis=1;VoOneWayDelayMs=0;maxJitter=29,,StandAloneCluster,3219,8000,IP PHONES Uruguay,IP PHONES Venezuela
