Numero Origen,ID Usuario Origen,Dispositivo Origen,Dispositivo Destino,Numero Marcado Original,Numero Marcado Final,ID Usuario Destino,Origen,Destino,Codigo Origen,Codigo Destino,Tiempo de Conexion,Tiempo de Desconexion,Duracion(s)
3133,\ ,SEP00279025BB0F,SEP34DBFDCC93C1,2222,2222,\ ,Uruguay,Venezuela,16,0,"01/Nov/2021, 05:35, AM","01/Nov/2021, 05:36, AM",16.0
8116,\ ,SEP001646776BDD,SEP34DBFDCC93C1,2222,2222,\ ,Bolivia,Venezuela,0,16,"01/Nov/2021, 05:00, AM","01/Nov/2021, 05:00, AM",17.0
3133,\ ,SEP00279025BB0F,SIP_Trunk_Uruguay_Antel,122089824,122089824,\ ,Uruguay,Uruguay,16,0,"01/Nov/2021, 06:03, AM","01/Nov/2021, 06:03, AM",30.0
6535,\ ,SEP0C2724559D18,SEP34DBFDCD0C0C,2447,2447,sala_venezuela,Venezuela,Venezuela,16,0,"01/Nov/2021, 05:08, AM","01/Nov/2021, 05:09, AM",14.0
2447,sala_venezuela,SEP34DBFDCD0C0C,SEP0C272455C020,2279,2279,\ ,Venezuela,Venezuela,0,16,"01/Nov/2021, 05:10, AM","01/Nov/2021, 05:11, AM",13.0
2279,\ ,SEP0C272455C020,AN00F137DEFF400,2472,2472,\ ,Venezuela,Venezuela,16,0,"01/Nov/2021, 06:03, AM","01/Nov/2021, 06:03, AM",1.0
3284,MCERVERO,SEPF0B2E576DDF4,CiscoUM1-VI1,8000,8000,\ ,Uruguay,Miami,16,0,"01/Nov/2021, 07:12, AM","01/Nov/2021, 07:12, AM",17.0
3281,AAGUILLO,SEP204C9EB2FDCA,SIP_Trunk_InterGrupo,2200,2200,\ ,Uruguay,Venezuela,16,0,"01/Nov/2021, 07:14, AM","01/Nov/2021, 07:14, AM",3.0
2472,\ ,AN00F137DEFF400,SEP34DBFDCD0C0C,2222,2222,sala_venezuela,Venezuela,Venezuela,16,0,"01/Nov/2021, 06:17, AM","01/Nov/2021, 06:18, AM",27.0
3219,HSANTANA,SEP701F534C3CC0,CiscoUM1-VI1,8000,8000,\ ,Uruguay,Miami,16,0,"01/Nov/2021, 07:21, AM","01/Nov/2021, 07:21, AM",2.0
6411,KGAMARRA,SEP001D70FB5B3B,CiscoUM1-VI1,8000,8000,\ ,Argentina,Miami,16,0,"01/Nov/2021, 07:32, AM","01/Nov/2021, 07:32, AM",3.0
3145,\ ,SEP00279025BA44,SEP00279025BB0F,3133,3133,\ ,Uruguay,Uruguay,16,0,"01/Nov/2021, 07:41, AM","01/Nov/2021, 07:41, AM",19.0
6552,DNARANJO,SEP0C272455CF64,SEP34DBFDCC93C1,2222,2222,\ ,Venezuela,Venezuela,0,16,"01/Nov/2021, 06:50, AM","01/Nov/2021, 06:50, AM",5.0
3224,VROSAS,SEP00279025BA24,CiscoUM1-VI1,8000,8000,\ ,Uruguay,Miami,16,0,"01/Nov/2021, 07:51, AM","01/Nov/2021, 07:51, AM",2.0
6523,HJHERNANDEZ,SEP0C272455BEF1,SEP34DBFDCC93C1,2222,2222,\ ,Venezuela,Venezuela,16,0,"01/Nov/2021, 06:56, AM","01/Nov/2021, 06:56, AM",38.0
