DEVICE NAME,DEVICE POOL
AALN/S0/SU2/2@GWVESM-1.caf.com,CAFVEDP001
AALN/S0/SU3/0@GWVESM-1.caf.com,CAFVEDP001
AALN/S0/SU2/3@GWVESM-1.caf.com,CAFVEDP001
AALN/S0/SU3/3@GWVESM-1.caf.com,CAFVEDP001
AALN/S0/SU3/2@GWVESM-1.caf.com,CAFVEDP001
AALN/S0/SU2/1@GWVESM-1.caf.com,CAFVEDP001
AALN/S0/SU2/0@GWVESM-1.caf.com,CAFVEDP001
AALN/S0/SU3/1@GWVESM-1.caf.com,CAFVEDP001
AALN/S0/SU3/2@GWVESM-2.caf.com,CAFVEDP001
AALN/S0/SU2/2@GWVESM-2.caf.com,CAFVEDP001
AALN/S0/SU2/3@GWVESM-2.caf.com,CAFVEDP001
AALN/S0/SU2/0@GWVESM-2.caf.com,CAFVEDP001
AALN/S0/SU3/0@GWVESM-2.caf.com,CAFVEDP001
AALN/S0/SU2/1@GWVESM-2.caf.com,CAFVEDP001
AALN/S0/SU3/1@GWVESM-2.caf.com,CAFVEDP001
AALN/S0/SU2/1@GWVESM-3.caf.com,CAFVEDP001
AALN/S0/SU3/3@GWVESM-3.caf.com,CAFVEDP001
AALN/S0/SU2/3@GWVESM-3.caf.com,CAFVEDP001
AALN/S0/SU3/0@GWVESM-3.caf.com,CAFVEDP001
AALN/S0/SU2/2@GWVESM-3.caf.com,CAFVEDP001
AALN/S0/SU1/3@GWVESM-3.caf.com,CAFVEDP001
AALN/S0/SU3/1@GWVESM-3.caf.com,CAFVEDP001
AALN/S0/SU2/0@GWVESM-3.caf.com,CAFVEDP001
AALN/S0/SU0/3@GWVESM-4.caf.com,CAFVEDP002
AALN/S0/SU0/2@GWVESM-4.caf.com,CAFVEDP002
AALN/S0/SU2/0@GWVESM-4.caf.com,CAFVEDP002
AALN/S0/SU1/0@GWVESM-4.caf.com,CAFVEDP002
AALN/S0/SU1/3@GWVESM-4.caf.com,CAFVEDP002
AALN/S0/SU3/1@GWVESM-4.caf.com,CAFVEDP001
AALN/S0/SU3/3@GWVESM-4.caf.com,CAFVEDP002
AALN/S0/SU0/0@GWVESM-4.caf.com,CAFVEDP002
AALN/S0/SU3/0@GWVESM-4.caf.com,CAFVEDP002
AALN/S0/SU0/1@GWVESM-4.caf.com,CAFVEDP002
