DEVICE POOL NAME,CISCO UNIFIED CALLMANAGER GROUP,DATE/TIME GROUP,REGION,SRST REFERENCE,CALLING SEARCH SPACE FOR AUTO-REGISTRATION,AAR CALLING SEARCH SPACE,DEVICE MOBILITY CALLING SEARCH SPACE,MEDIA RESOURCE GROUP LIST,LOCATION,NETWORK LOCALE,CONNECTION MONITOR DURATION,DEVICE MOBILITY GROUP,AAR GROUP,REVERTED CALL FOCUS PRIORITY,CALLING PARTY TRANSFORMATION CSS,CALLED PARTY TRANSFORMATION CSS,INCOMING CALLING PARTY NATIONAL NUMBER PREFIX,INCOMING CALLING PARTY INTERNATIONAL NUMBER PREFIX,INCOMING CALLING PARTY UNKNOWN NUMBER PREFIX,INCOMING CALLING PARTY SUBSCRIBER NUMBER PREFIX,GEO LOCATION,GEO LOCATION FILTER,PHYSICAL LOCATION,INCOMING CALLINGPARTYINTERNATIONALNUMDIGITSTOSTRIP,INCOMING CALLINGPARTYUNKNOWNNUM DIGITSTOSTRIP,INCOMING CALLINGPARTYSUBSCRIBERNUM DIGITSTOSTRIP,CALLINGPARTYTRANSFORMATIONCSS FOR NATIONALNUM,CALLINGPARTYTRANSFORMATIONCSS FOR INTERNATIONALNUM,CALLINGPARTYTRANSFORMATIONCSS FOR UNKNOWNNUM,CALLINGPARTYTRANSFORMATIONCSS FOR SUBSCRIBERNUM,JOIN ACROSS LINES,SINGLE BUTTON BARGE,ADJUNCT CSS,INCOMING CALLINGPARTYNATIONALNUM DIGITSTOSTRIP,ENROLLED GROUP,INCOMING CALLED PARTY NATIONAL NUMBER PREFIX,INCOMING CALLED PARTY INTERNATIONAL NUMBER PREFIX,INCOMING CALLED PARTY UNKNOWN NUMBER PREFIX,INCOMING CALLED PARTY SUBSCRIBER NUMBER PREFIX,INCOMING CALLEDPARTYNATIONALNUMDIGITSTOSTRIP,INCOMING CALLEDPARTYINTERNATIONNUM DIGITSTOSTRIP,INCOMING CALLEDPARTYUNKNOWNNUM DIGITSTOSTRIP,INCOMING CALLEDPARTYSUBSCRIBERNUM DIGITSTOSTRIP,CALLEDPARTYTRANSFORMATIONCSS FOR NATIONALNUM,CALLEDPARTYTRANSFORMATIONCSS FOR INTERNATIONALNUM,CALLEDPARTYTRANSFORMATIONCSS FOR UNKNOWNNUM,CALLEDPARTYTRANSFORMATIONCSS FOR SUBSCRIBERNUM,CONNECTED PARTY TRANSFORMATION CSS,REDIRECTING PARTY TRANSFORMATION CSS,WIRELESS LAN PROFILE GROUP,Local Route Group 0,Route Group 0
DP-KOF-VEN-CBOL,CMG-KOF-VEN-01,DTG-KOF-VEN-01,RG-KOF-VEN-CBOL,SRST-KOF-VEN-CBOL,NULL,NULL,NULL,MRL-KOF-VEN-CBOL,LC-KOF-VEN-CBOL,Venezuela,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,GL-KOF-VEN-CBOL,NULL,PL-KOF-VEN-CBOL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
DP-KOF-VEN-LPAS,CMG-KOF-VEN-01,DTG-KOF-VEN-01,RG-KOF-VEN-LPAS,SRST-KOF-VEN-LPAS,NULL,NULL,NULL,MRL-KOF-VEN-LPAS,LC-KOF-VEN-LPAS,Venezuela,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,GL-KOF-VEN-LPAS,NULL,PL-KOF-VEN-LPAS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
DP-KOF-VEN-CBZO,CMG-KOF-VEN-01,DTG-KOF-VEN-01,RG-KOF-VEN-CBZO,SRST-KOF-VEN-CBZO,NULL,NULL,NULL,MRL-KOF-VEN-CBZO,LC-KOF-VEN-CBZO,Venezuela,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,GL-KOF-VEN-CBZO,NULL,PL-KOF-VEN-CBZO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
Default,CMG-KOF-VEN-01,DTG-KOF-VEN-01,Default,Disable,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
DP-KOF-VEN-CATI,CMG-KOF-VEN-01,DTG-KOF-VEN-01,RG-KOF-VEN-CATI,SRST-KOF-VEN-CATI,NULL,NULL,NULL,MRL-KOF-VEN-CATI,LC-KOF-VEN-CATI,Venezuela,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,GL-KOF-VEN-CATI,NULL,PL-KOF-VEN-CATI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
DP-KOF-VEN-BQTO,CMG-KOF-VEN-01,DTG-KOF-VEN-01,RG-KOF-VEN-BQTO,SRST-KOF-VEN-BQTO,NULL,NULL,NULL,MRL-KOF-VEN-BQTO,LC-KOF-VEN-BQTO,Venezuela,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,GL-KOF-VEN-BQTO,NULL,PL-KOF-VEN-BQTO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
DP-KOF-VEN-MARG,CMG-KOF-VEN-01,DTG-KOF-VEN-01,RG-KOF-VEN-MARG,SRST-KOF-VEN-MARG,NULL,NULL,NULL,MRL-KOF-VEN-MARG,LC-KOF-VEN-MARG,Venezuela,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,GL-KOF-VEN-MARG,NULL,PL-KOF-VEN-MARG,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
DP-KOF-VEN-OFC-SIP-SME,CMG-KOF-VEN-01,DTG-KOF-VEN-01,RG-KOF-VEN-OFC-SIP-SME,SRST-KOF-VEN-OFC,NULL,NULL,NULL,MRL-KOF-VEN-OFC,LC-KOF-VEN-OFC-SIP-SME,Venezuela,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,GL-KOF-VEN-OFC,NULL,PL-KOF-VEN-OFC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
DP-KOF-VEN-COJE,CMG-KOF-VEN-01,DTG-KOF-VEN-01,RG-KOF-VEN-COJE,SRST-KOF-VEN-COJE,NULL,NULL,NULL,MRL-KOF-VEN-COJE,LC-KOF-VEN-COJE,Venezuela,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,GL-KOF-VEN-COJE,NULL,PL-KOF-VEN-COJE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
DP-KOF-VEN-MCBN,CMG-KOF-VEN-01,DTG-KOF-VEN-01,RG-KOF-VEN-MCBN,SRST-KOF-VEN-MCBN,NULL,NULL,NULL,MRL-KOF-VEN-MCBN,LC-KOF-VEN-MCBN,Venezuela,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,GL-KOF-VEN-MCBN,NULL,PL-KOF-VEN-MCBN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
