Device Name,Status,
CSFBQUINTERO,None,
CSFHCHAGUAN,None,
CSFTemplate,None,
CSFTVEDXCESIF,None,
CSFTVEDXCJGUE,None,
CSFTVESOUVPERA,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
CSFTVESPIJROD,None,
CSFVE01311702,None,
CSFVE01312701,None,
CSFVE01359159,None,
CSFVE01360226,None,
CSFVE01363622,None,
CSFVE01376745,None,
CSFVE01378592,None,
CSFVE01438053,None,
CSFVE01459373,None,
CSFVE01678223,None,
CSFVE01686617,None,
CSFVE01826805,None,
CSFVE01858032,None,
CSFVE01874388,None,
CSFVE01900066,None,
CSFVE01900191,None,
CSFVE01900421,None,
CSFVE01900438,None,
CSFVE01900746,None,
CSFVE01900791,None,
CSFVE01900792,None,
CSFVE01900890,None,
CSFVE01901100,None,
CSFVE01901110,None,
CSFVE01901954,None,
CSFVE01902893,None,
CSFVE01902900,None,
CSFVE01902919,None,
CSFVE01903256,None,
CSFVE01903263,None,
CSFVE01904108,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
CSFVE01906618,None,
CSFVE03207576,None,
CSFVE03301575,None,
CSFVE03308368,None,
CSFVE03455770,None,
CSFVE03478113,None,
CSFVE03490134,None,
CSFVE03497205,None,
CSFVE03537270,None,
CSFVE03662222,None,
CSFVE03701091,None,
KOFVENALGOCUE01,None,
KOFVENALGOCUE02,None,
KOFVENANTICUE01,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
KOFVENANTICUE02,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
KOFVENAPURCUE01,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
KOFVENAPURCUE02,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
KOFVENBLNACUE01,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
KOFVENBLNACUE02,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
KOFVENBLNACUE03,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
KOFVENBLNACUE04,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
KOFVENBLNACUE05,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
KOFVENBLNACUE06,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
KOFVENBQTOCUE01,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
KOFVENBQTOCUE02,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
KOFVENCBZOCUE01,None,
KOFVENCBZOCUE02,None,
KOFVENCUMACUE01,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
KOFVENCUMACUE02,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
KOFVENDVALCUE01,None,
KOFVENDVALCUE02,None,
KOFVENGNPACUE01,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
KOFVENGNPACUE02,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
KOFVENGUARCUE01,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
KOFVENGUARCUE02,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
KOFVENLGUACUE01,None,
KOFVENLGUACUE02,None,
KOFVENLGUACUE03,None,
KOFVENLGUACUE04,None,
KOFVENLGUACUE05,None,
KOFVENLPASCUE01,None,
KOFVENLPASCUE02,None,
KOFVENMARGCUE01,None,
KOFVENMARGCUE02,None,
KOFVENMCBNCUE01,None,
KOFVENMCBNCUE02,None,
KOFVENMCBOCUE01,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
KOFVENMCBOCUE02,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
KOFVENMCBSCUE01,None,
KOFVENMCBSCUE02,None,
KOFVENPVALCUE01,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
KOFVENPVALCUE02,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
KOFVENPVALCUE03,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
KOFVENPVALCUE04,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
KOFVENSCRICUE01,None,
KOFVENSCRICUE02,None,
KOFVENSFLXCUE01,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
KOFVENSFLXCUE02,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP0004F2E5414C,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP0004F2E5C3B7,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP0004F2E6D11A,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP0004F2EB4CF6,None,
SEP0004F2EB4D0F,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP0004F2EB4D11,None,
SEP0004F2EB4EA1,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF71B3,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
