DEVICE POOL NAME,CISCO UNIFIED CALLMANAGER GROUP,DATE/TIME GROUP,REGION,SRST REFERENCE,CALLING SEARCH SPACE FOR AUTO-REGISTRATION,AAR CALLING SEARCH SPACE,DEVICE MOBILITY CALLING SEARCH SPACE,MEDIA RESOURCE GROUP LIST,LOCATION,NETWORK LOCALE,CONNECTION MONITOR DURATION,DEVICE MOBILITY GROUP,AAR GROUP,REVERTED CALL FOCUS PRIORITY,CALLING PARTY TRANSFORMATION CSS,CALLED PARTY TRANSFORMATION CSS,INCOMING CALLING PARTY NATIONAL NUMBER PREFIX,INCOMING CALLING PARTY INTERNATIONAL NUMBER PREFIX,INCOMING CALLING PARTY UNKNOWN NUMBER PREFIX,INCOMING CALLING PARTY SUBSCRIBER NUMBER PREFIX,GEO LOCATION,GEO LOCATION FILTER,PHYSICAL LOCATION,INCOMING CALLINGPARTYINTERNATIONALNUMDIGITSTOSTRIP,INCOMING CALLINGPARTYUNKNOWNNUM DIGITSTOSTRIP,INCOMING CALLINGPARTYSUBSCRIBERNUM DIGITSTOSTRIP,CALLINGPARTYTRANSFORMATIONCSS FOR NATIONALNUM,CALLINGPARTYTRANSFORMATIONCSS FOR INTERNATIONALNUM,CALLINGPARTYTRANSFORMATIONCSS FOR UNKNOWNNUM,CALLINGPARTYTRANSFORMATIONCSS FOR SUBSCRIBERNUM,JOIN ACROSS LINES,SINGLE BUTTON BARGE,ADJUNCT CSS,INCOMING CALLINGPARTYNATIONALNUM DIGITSTOSTRIP,ENROLLED GROUP,INCOMING CALLED PARTY NATIONAL NUMBER PREFIX,INCOMING CALLED PARTY INTERNATIONAL NUMBER PREFIX,INCOMING CALLED PARTY UNKNOWN NUMBER PREFIX,INCOMING CALLED PARTY SUBSCRIBER NUMBER PREFIX,INCOMING CALLEDPARTYNATIONALNUMDIGITSTOSTRIP,INCOMING CALLEDPARTYINTERNATIONNUM DIGITSTOSTRIP,INCOMING CALLEDPARTYUNKNOWNNUM DIGITSTOSTRIP,INCOMING CALLEDPARTYSUBSCRIBERNUM DIGITSTOSTRIP,CALLEDPARTYTRANSFORMATIONCSS FOR NATIONALNUM,CALLEDPARTYTRANSFORMATIONCSS FOR INTERNATIONALNUM,CALLEDPARTYTRANSFORMATIONCSS FOR UNKNOWNNUM,CALLEDPARTYTRANSFORMATIONCSS FOR SUBSCRIBERNUM,CONNECTED PARTY TRANSFORMATION CSS,REDIRECTING PARTY TRANSFORMATION CSS,WIRELESS LAN PROFILE GROUP,EMERGENCY LOCATION (ELIN) GROUP,Local Route Group 1,Route Group 1
DP_ANN,CMG_MiamiSubs_Tuckerton,Miami,R_ANN,Disable,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
DP_MTP,CMG_MiamiSubs_Tuckerton,Miami,R_MTP,Disable,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
DP_Rio_CLS,CMG_MiamiSubs_Tuckerton,Rio de Janeiro,R_Rio_CLS,SRST_Rio,NULL,NULL,NULL,MRGL_Rio_2,NULL,NULL,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
DP_VCS,CMG_MiamiSubs_Tuckerton,Miami,R_VCS,Disable,NULL,NULL,NULL,MRGL_Boca_2,L_VCS,NULL,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
Default,Default,CMLocal,Default,Disable,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
DP_Caracas_Office-Test,CMG Test  Tercer Subscriber,Caracas,R_Caracas_Office,SRST_Caracas,NULL,NULL,NULL,MRGL_Caracas_2,NULL,NULL,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
DP_Bogota,CMG_MiamiSubs_Tuckerton,Colombia,R_Bogota,SRST_Bogota,NULL,NULL,NULL,MRGL_Bogota_2,NULL,NULL,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
DP_BuenosAires_Office,CMG_MiamiSubs_Tuckerton,Argentina,R_Argentina,Disable,NULL,NULL,NULL,MRGL_Rio_2,NULL,NULL,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
DP_LasToninas,CMG_MiamiSubs_Tuckerton,Argentina,R_Argentina,Disable,NULL,NULL,NULL,MRGL_Rio_2,NULL,NULL,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
DP_Rio_GW,CMG_MiamiSubs_Tuckerton,Rio de Janeiro,R_Rio_GW,SRST_Rio,NULL,NULL,NULL,MRGL_Rio_2,NULL,NULL,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
DP_Bermuda_GW,CMG_MiamiSubs_Tuckerton,Bermuda,R_Bermuda_GW,SRST_Bermuda,NULL,NULL,NULL,MRGL_Bermuda_2,NULL,NULL,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
DP_Caracas_Office,CMG_MiamiSubs_Tuckerton,Caracas,R_Caracas_Office,SRST_Caracas,NULL,NULL,NULL,MRGL_Caracas_2,NULL,NULL,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
DP_ICT,CMG_Subscriber,Miami,R_ICT,Disable,NULL,NULL,NULL,MRGL_Boca_2,NULL,NULL,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
DP_Tuckerton_GW,CMG_MiamiSubs_Tuckerton,Tuckerton,R_Tuckerton_GW,SRST_Tuckerton,NULL,NULL,NULL,MRGL_Tuckerton_2,NULL,NULL,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
DP_Boca,CMG_MiamiSubs_Tuckerton,Miami,R_Boca,SRST_Boca,NULL,NULL,NULL,MRGL_Boca_2,NULL,NULL,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
DP_Maiquetia,CMG_MiamiSubs_Tuckerton,Caracas,R_Maiquetia,SRST_Caracas,NULL,NULL,NULL,MRGL_Caracas_2,NULL,NULL,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
DP_Miami,CMG_MiamiSubs_Tuckerton,Miami,R_Miami,Disable,NULL,NULL,NULL,MRGL_Boca_2,NULL,NULL,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Standard Local Route Group,RG_Miami
DP_Caracas_GW,CMG_MiamiSubs_Tuckerton,Caracas,R_Caracas_GW,SRST_Caracas,NULL,NULL,NULL,MRGL_Caracas_2,NULL,NULL,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
DP_Bermuda,CMG_MiamiSubs_Tuckerton,Bermuda,R_Bermuda,SRST_Bermuda,NULL,NULL,NULL,MRGL_Bermuda_2,NULL,NULL,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
DP_CFB,CMG_MiamiSubs_Tuckerton,Miami,R_CFB,Disable,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
DP_Caracas_POP,CMG_MiamiSubs_Tuckerton,Caracas,R_Caracas_POP,SRST_Caracas,NULL,NULL,NULL,MRGL_Caracas_2,NULL,NULL,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
DP_Barranquilla,CMG_MiamiSubs_Tuckerton,Colombia,R_Barranquilla,SRST_Bogota,NULL,NULL,NULL,MRGL_Barranquilla_2,NULL,NULL,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
DP_Bogota_POP,CMG_MiamiSubs_Tuckerton,Colombia,R_Bogota_POP,Disable,NULL,NULL,NULL,MRGL_Bogota_2,NULL,NULL,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
DP_Fortaleza_GW,CMG_MiamiSubs_Tuckerton,Fortaleza,R_Fortaleza_GW,SRST_Fortaleza,NULL,NULL,NULL,MRGL_Fortaleza_2,NULL,NULL,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
DP_Tuckerton,CMG_MiamiSubs_Tuckerton,Tuckerton,R_Tuckerton,SRST_Tuckerton,NULL,NULL,NULL,MRGL_Tuckerton_2,NULL,NULL,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
DP_Fortaleza,CMG_MiamiSubs_Tuckerton,Fortaleza,R_Fortaleza,SRST_Fortaleza,NULL,NULL,NULL,MRGL_Fortaleza_2,NULL,NULL,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
DP_SaoPaulo_POP,CMG_MiamiSubs_Tuckerton,Sao Paulo,R_SaoPaulo_POP,Disable,NULL,NULL,NULL,MRGL_Fortaleza_2,NULL,NULL,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
DP_Pacheco_POP,CMG_MiamiSubs_Tuckerton,Argentina,R_Argentina,Disable,NULL,NULL,NULL,MRGL_Rio_2,NULL,NULL,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
DP_SaoPaulo,CMG_MiamiSubs_Tuckerton,Sao Paulo,R_SaoPaulo,Disable,NULL,NULL,NULL,MRGL_Fortaleza_2,NULL,NULL,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
DP_Rio_Office,CMG_MiamiSubs_Tuckerton,Rio de Janeiro,R_Rio_Office,SRST_Rio,NULL,NULL,NULL,MRGL_Rio_2,NULL,NULL,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
DP_Bogota_subscriber_tuckerton,CMG_MiamiSubs_Tuckerton,Colombia,R_Bogota,SRST_Bogota,NULL,NULL,NULL,MRGL_Bogota_2,NULL,NULL,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
DP_XCODE,CMG_MiamiSubs_Tuckerton,Miami,R_MTP,Disable,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
DP_UCCX,CMG_UCCX,Miami,R_UCCX,Disable,NULL,NULL,NULL,MRGL_Boca_2,NULL,NULL,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
DP_MOH,CMG_MiamiSubs_Tuckerton,Miami,R_MOH,Disable,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
DP_Bogota_GW,CMG_MiamiSubs_Tuckerton,Colombia,R_Bogota_GW,SRST_Bogota,NULL,NULL,NULL,MRGL_Bogota_2,NULL,NULL,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
DP_NOC,CMG_Tuckerton,Miami,R_Boca,SRST_Boca,NULL,NULL,NULL,MRGL_Boca_2,NULL,NULL,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
DP_Artigas_POP,CMG_MiamiSubs_Tuckerton,Argentina,R_Argentina,Disable,NULL,NULL,NULL,MRGL_Rio_2,NULL,NULL,-1,NULL,NULL,Default,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Default,Default,NULL,NULL,NULL,Default,Default,Default,Default,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
