cdrRecordType,globalCallID_callManagerId,globalCallID_callId,orignodeId,destnodeId,origlegcallIdentifier,destlegidentifier,orignumberPacketsSent,orignumberOctetsSent,orignumberPacketsReceived,orignumberOctetsReceived,orignumberPacketsLost,destnumberPacketsSent,destnumberOctetsSent,destnumberPacketsReceived,destnumberOctetsReceived,destnumberPacketsLost,origjitter,destjitter,origlatency,destlatency,pkid,origdeviceName,destdeviceName,origvarVQMetrics,destvarVQMetrics,globalCallId_ClusterID,callingPartyNumber,finalCalledPartyNumber,callingPartyNumberPartition,finalCalledPartyNumberPartition
1,2,818062,2,1,35590342,35590345,,,,,,918,146880,277,43206,0,,2,,20,0b0ebb94-41f3-430a-af34-49709d241c22,10.2.30.113,CiscoUM1-VI1,,,StandAloneCluster,2128211200,3391000,,P_TEL
1,2,818062,2,2,35590342,18644500,,,,,,,,,,,,,,,9256bab1-453d-4b9e-b915-5eb43ef823ba,10.2.30.113,10.2.30.113,,,StandAloneCluster,2128211200,904142661340,,P_MOV_Caracas
1,2,818063,2,1,35590347,35590350,,,,,,762,121920,624,97614,0,,3,,20,7041fd9a-7089-4468-b7db-1ca18c321e8c,10.2.23.30,CiscoUM1-VI1,,,StandAloneCluster,5614869547,3391000,,P_TEL
1,2,818063,2,1,35590347,35590354,,,,,,485,77600,484,77440,0,,2,,0,cee709a8-a68b-4e5c-85c2-851f14a8f3e1,10.2.23.30,CiscoUM1-VI1,,,StandAloneCluster,5614869547,3391000,,P_TEL
1,2,818067,2,1,35590364,35590368,78,13416,76,13072,0,76,12160,76,12160,0,2,0,0,20,2b5bde22-171e-43e5-a97b-94993779e1d7,SEPD0C28242C5D6,CiscoUM1-VI2,MLQK=0.0000;MLQKav=0.0000;MLQKmn=0.0000;MLQKmx=0.0000;ICR=0.0000;CCR=0.0000;ICRmx=0.0000;CS=0;SCS=0;MLQKvr=0.95,,StandAloneCluster,7380,3391000,P_TEL,P_TEL
1,2,818066,2,1,35590359,35590362,,,,,,3245,519200,3125,497615,0,,6,,0,936a0b33-6fe5-4bde-adef-20c0b33b97c0,10.2.23.30,CiscoUM1-VI1,,,StandAloneCluster,8137730620,3391000,,P_TEL
1,2,818066,2,1,35590359,35590374,,,,,,890,142400,858,136803,0,,3,,20,0acfcd12-3826-4c10-a6ff-0aa527023e6a,10.2.23.30,CiscoUM1-VI1,,,StandAloneCluster,8137730620,3391000,,P_TEL
1,2,818065,2,2,35590357,35590358,12958,2073280,12933,2069280,28,,,,,,5,,0,,697aa30e-ef90-4c26-9687-7559e483318c,CSFlantonio,10.2.30.37,CS=0;SCS=0,,StandAloneCluster,0380,90318532713072,P_TEL,P_LD_Rio
1,2,818069,2,1,35590375,35590379,,,,,,617,98720,615,98400,0,,3,,20,33139d49-8440-44b2-9e3e-01fb569c6e46,10.2.23.30,CiscoUM1-VI1,,,StandAloneCluster,5613833843,3391000,,P_TEL
1,2,818070,2,2,35590381,35590382,4091,654560,4089,654240,5,,,,,,2,,0,,43d29234-87f6-4a1c-a842-b5c9261bba8f,CSFgnnoc,10.2.23.30,CS=0;SCS=0,,StandAloneCluster,2450,96094891254,P_TEL,P_TEL
