Entity:H323
DEVICE NAME,DESCRIPTION,PRODUCT TYPE,PROTOCOL TYPE,DEVICE POOL,COMMON DEVICE CONFIGURATION,CALL CLASSIFICATION,MEDIA RESOURCE GROUP LIST,PACKET CAPTURE MODE,PACKET CAPTURE DURATION,LOCATION,AAR GROUP,USE TRUSTED RELAY POINT,MEDIA TERMINATION POINT REQUIRED,RETRY VIDEO CALL AS AUDIO,TRANSMIT UTF-8 FOR CALLING PARTY NAME,SRTP ALLOWED,MLPP DOMAIN,CALLING SEARCH SPACE,AAR CALLING SEARCH SPACE,CALLED PARTY TRANSFORMATION CSS,USE DEVICE POOL CALLED PARTY TRANSFORMATION CSS,CALLING PARTY TRANSFORMATION CSS,USE DEVICE POOL CALLING PARTY TRANSFORMATION CSS,INCOMING CALLING PARTY NATIONAL NUMBER PREFIX,INCOMING CALLING PARTY INTERNATIONAL NUMBER PREFIX,INCOMING CALLING PARTY UNKNOWN NUMBER PREFIX,INCOMING CALLING PARTY SUBSCRIBER NUMBER PREFIX,GEO LOCATION,GEO LOCATION FILTER,SEND GEO LOCATION INFORMATION,INCOMING CALLINGPARTYNATIONALNUM DIGITSTOSTRIP,INCOMING CALLINGPARTYINTERNATIONALNUMDIGITSTOSTRIP,INCOMING CALLINGPARTYUNKNOWNNUM DIGITSTOSTRIP,INCOMING CALLINGPARTYSUBSCRIBERNUM DIGITSTOSTRIP,CALLINGPARTYTRANSFORMATIONCSS FOR NATIONALNUM,CALLINGPARTYTRANSFORMATIONCSS FOR INTERNATIONALNUM,CALLINGPARTYTRANSFORMATIONCSS FOR UNKNOWNNUM,CALLINGPARTYTRANSFORMATIONCSS FOR SUBSCRIBERNUM,USE DEVPOOL CALLINGPARTYTRANSFORMCSS NATIONAL,USE DEVPOOL CALLINGPARTYTRANSFORMCSS INTNATIONAL,USE DEVPOOL CALLINGPARTYTRANSFORMCSS UNKNOWN,USE DEVPOOL CALLINGPARTYTRANSFORMCSS SUBSCRIBE,ALWAYS USE PRIME LINE,ALWAYS USE PRIME LINE FOR VOICE MESSAGE,PSTN ACCESS,E.164 TRANSFORMATION PROFILE,USE DEVICE POOL REDIRECTING PARTY TRANSFORMATION CSS,REDIRECTING PARTY TRANSFORMATION CSS,CONFIDENTIAL ACCESS MODE,CONFIDENTIAL ACCESS LEVEL,TUNNELED PROTOCOL,SIGNALING PORT,SIGNIFICANT DIGITS,PREFIX DN,REDIRECTING NUMBER IE DELIVERY-INBOUND,ENABLE INBOUND FASTSTART,CALLING PARTY SELECTION,CALLING PARTY PRESENTATION,CALLED PARTY IE NUMBER TYPE UNKNOWN,CALLING PARTY IE NUMBER TYPE UNKNOWN,CALLED NUMBERING PLAN,CALLING NUMBERING PLAN,CALLER ID DN,DISPLAY IE DELIVERY,REDIRECTING NUMBER IE DELIVERY-OUTBOUND,ENABLE OUTBOUND FASTSTART,CODEC FOR OUTBOUND FASTSTART,WAIT FOR FAR END H.245 TERMINAL CAPABILITY SET,PATH REPLACEMENT SUPPORT,QSIG VARIANT,ASN.1 ROSE OID ENCODING,IS SAF ENABLED,USE DEVICE POOL CONNECTED PARTY TRANSFORMATION CSS,CONNECTED PARTY TRANSFORMATION CSS
10.2.0.9,GW Boca Raton FXO,H.323 Gateway,H.225,DP_Miami,,Use System Default,,None,0,Hub_None,,Default,f,t,f,f,,CSS_GW_Miami,,,t,,t,Default,Default,Default,Default,,,f,NULL,NULL,NULL,NULL,,,,,t,t,t,t,Default,Default,f,,t,,,-1,None,1720,99,,f,f,Originator,Default,Cisco CallManager,Cisco CallManager,Cisco CallManager,Cisco CallManager,,f,f,f,G711 u-law 64K,f,f,No Changes,No Changes,f,t,
10.2.23.30,GW Boca raton PSTN,H.323 Gateway,H.225,DP_Miami,,Use System Default,MRGL_Boca_2,None,0,Hub_None,,Default,t,t,f,f,,CSS_GW_Miami,,CSS-xform-cd-miami-out,f,,t,Default,Default,Default,Default,,,f,NULL,NULL,NULL,NULL,,,,,t,t,t,t,Default,Default,t,,t,,,-1,None,1720,99,,f,f,Originator,Default,Cisco CallManager,Cisco CallManager,Cisco CallManager,Cisco CallManager,,f,f,f,G711 u-law 64K,f,f,No Changes,No Changes,f,t,
10.2.30.113,GW Caracas,H.323 Gateway,H.225,DP_Caracas_GW,,Use System Default,,None,0,Hub_None,,Default,f,t,f,f,,CSS_GW_Caracas,,CSS-xform-cd-caracas-out,f,,t,Default,Default,Default,Default,,,f,NULL,NULL,NULL,NULL,,,,,t,t,t,t,Default,Default,f,,t,,,-1,None,1720,99,,f,f,Last Redirect Number,Default,Cisco CallManager,Cisco CallManager,Cisco CallManager,Cisco CallManager,,f,f,f,G711 u-law 64K,f,f,No Changes,No Changes,f,t,
10.2.30.17,GW Fortaleza,H.323 Gateway,H.225,DP_Fortaleza_GW,,Use System Default,,None,0,Hub_None,,Default,f,t,f,f,,CSS_GW_Fortaleza,,,t,,t,Default,Default,Default,Default,,,f,NULL,NULL,NULL,NULL,,,,,t,t,t,t,Default,Default,f,,t,,,-1,None,1720,99,,f,f,Originator,Default,Cisco CallManager,Cisco CallManager,Cisco CallManager,Cisco CallManager,,f,f,f,G711 u-law 64K,f,f,No Changes,No Changes,f,t,
10.2.30.36,GW Rio 02,H.323 Gateway,H.225,DP_Rio_GW,,Use System Default,,None,0,Hub_None,,Default,f,t,f,f,,CSS_GW_Rio,,CSS-xform-cd-rio-out,f,,t,Default,Default,Default,Default,,,f,NULL,NULL,NULL,NULL,,,,,t,t,t,t,Default,Default,f,,t,,,-1,None,1720,99,,f,f,Last Redirect Number,Default,Cisco CallManager,Cisco CallManager,Cisco CallManager,Cisco CallManager,,f,f,f,G711 u-law 64K,f,f,No Changes,No Changes,f,t,
10.2.30.37,GW Rio,H.323 Gateway,H.225,DP_Rio_GW,,Use System Default,,None,0,Hub_None,,Default,f,t,f,f,,CSS_GW_Rio,,CSS-xform-cd-rio-out,f,,t,Default,Default,Default,Default,,,f,NULL,NULL,NULL,NULL,,,,,t,t,t,t,Default,Default,f,,t,,,-1,None,1720,99,,f,f,Originator,Default,Cisco CallManager,Cisco CallManager,Cisco CallManager,Cisco CallManager,,f,f,f,G711 u-law 64K,f,f,No Changes,No Changes,f,t,
10.2.30.51,GW Tuckerton,H.323 Gateway,H.225,DP_Tuckerton_GW,,Use System Default,,None,0,Hub_None,,Default,f,t,f,f,,CSS_GW_Tuckerton,,,t,,t,Default,Default,Default,Default,,,f,NULL,NULL,NULL,NULL,,,,,t,t,t,t,Default,Default,f,,t,,,-1,None,1720,99,,f,f,Originator,Default,Cisco CallManager,Cisco CallManager,Cisco CallManager,Cisco CallManager,,f,f,f,G711 u-law 64K,f,f,No Changes,No Changes,f,t,
10.2.30.65,GW Bermuda,H.323 Gateway,H.225,DP_Bermuda_GW,,Use System Default,,None,0,Hub_None,,Default,f,t,f,f,,CSS_GW_Bermuda,,CSS-xform-cd-bermuda-out,f,,t,Default,Default,Default,Default,,,f,NULL,NULL,NULL,NULL,,,,,t,t,t,t,Default,Default,f,,t,,,-1,None,1720,99,,f,f,Originator,Default,Cisco CallManager,Cisco CallManager,Cisco CallManager,Cisco CallManager,,f,f,f,G711 u-law 64K,f,f,No Changes,No Changes,f,t,
10.20.13.129,GW Bogota,H.323 Gateway,H.225,DP_Bogota_GW,,Use System Default,,None,0,Hub_None,,Default,f,t,f,f,,CSS_GW_Bogota,,CSS-xform-cd-bogota-out,f,,t,Default,Default,Default,Default,,,f,NULL,NULL,NULL,NULL,,,,,t,t,t,t,Default,Default,f,,t,,,-1,None,1720,4,,f,f,Originator,Default,Cisco CallManager,Cisco CallManager,Cisco CallManager,Cisco CallManager,,f,f,f,G711 u-law 64K,f,f,No Changes,No Changes,f,t,

